Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2.1	N2	combined	Drop	0	0	0	0
2.1	N3	combined	Drop	0	0	0	0
2.1	N4	combined	Drop	0	0	0	0
2.1	N5	combined	Drop	0	0	0	0
2.15	N0	combined	Drop	0	0	0	0
2.15	N1	combined	Drop	0	0	0	0
2.15	N2	combined	Drop	0	0	0	0
2.15	N3	combined	Drop	0	0	0	0
2.15	N4	combined	Drop	0	0	0	0
2.15	N5	combined	Drop	0	0	0	0
2.2	N0	combined	Drop	0	0	0	0
2.2	N1	combined	Drop	0	0	0	0
2.2	N2	combined	Drop	0	0	0	0
2.2	N3	combined	Drop	0	0	0	0
2.2	N4	combined	Drop	0	0	0	0
2.2	N5	combined	Drop	0	0	0	0
2.25	N0	combined	Drop	0	0	0	0
2.25	N1	combined	Drop	0	0	0	0
2.25	N2	combined	Drop	0	0	0	0
2.25	N3	combined	Drop	0	0	0	0
2.25	N4	combined	Drop	0	0	0	0
2.25	N5	combined	Drop	0	0	0	0
2.3	N0	combined	Drop	0	0	0	0
2.3	N1	combined	Drop	0	0	0	0
2.3	N2	combined	Drop	0	0	0	0
2.3	N3	combined	Drop	0	0	0	0
2.3	N4	combined	Drop	0	0	0	0
2.3	N5	combined	Drop	0	0	0	0
2.35	N0	combined	Drop	0	0	0	0
2.35	N1	combined	Drop	0	0	0	0
2.35	N2	combined	Drop	0	0	0	0
2.35	N3	combined	Drop	0	0	0	0
2.35	N4	combined	Drop	0	0	0	0
2.35	N5	combined	Drop	0	0	0	0
2.4	N0	combined	Drop	0	0	0	0
2.4	N1	combined	Drop	0	0	0	0
2.4	N2	combined	Drop	0	0	0	0
2.4	N3	combined	Drop	0	0	0	0
2.4	N4	combined	Drop	0	0	0	0
2.4	N5	combined	Drop	0	0	0	0
2.45	N0	combined	Drop	0	0	0	0
2.45	N1	combined	Drop	0	0	0	0
2.45	N2	combined	Drop	0	0	0	0
2.45	N3	combined	Drop	0	0	0	0
2.45	N4	combined	Drop	0	0	0	0
2.45	N5	combined	Drop	0	0	0	0
2.5	N0	combined	Drop	0	0	0	0
2.5	N1	combined	Drop	0	0	0	0
2.5	N2	combined	Drop	0	0	0	0
2.5	N3	combined	Drop	0	0	0	0
2.5	N4	combined	Drop	0	0	0	0
2.5	N5	combined	Drop	0	0	0	0
